bigram,log_odds_ratio
kind girl,-0.4772
like quick,-0.4772
know cards,-0.4772
soon realized,-0.4772
novel amazing,-0.4772
products something,-0.4772
story seem,-0.4772
give amazon,-0.4772
clean litter,-0.4772
hair salon,-0.4772
take daughter,-0.4772
strong woman,-0.4772
day read,-0.4772
showed negative,-0.4772
went cheap,-0.4772
litter amazon,-0.4772
color matched,-0.4772
company said,-0.4772
careful buying,-0.4772
throw trash,-0.4772
time taken,-0.4772
problem going,-0.4772
without subscription,-0.4772
kind story,-0.4772
told needed,-0.4772
mean even,-0.4772
help product,-0.4772
next purchase,-0.4772
series story,-0.4772
nights reading,-0.4772
better read,-0.4772
saving grace,-0.4772
dog also,-0.4772
amazon allows,-0.4772
sound set,-0.4772
device change,-0.4772
money purchase,-0.4772
want amazon,-0.4772
got pregnant,-0.4772
possibly even,-0.4772
way page,-0.4772
year two,-0.4772
events happened,-0.4772
apple fan,-0.4772
plot one,-0.4772
try liked,-0.4772
network settings,-0.4772
also applies,-0.4772
book talks,-0.4772
expect great,-0.4772
good person,-0.4772
saying trying,-0.4772
author decided,-0.4772
quality time,-0.4772
called since,-0.4772
work correctly,-0.4772
battery dies,-0.4772
said hard,-0.4772
purchased installed,-0.4772
day special,-0.4772
assistance sent,-0.4772
pouring vegetable,-0.4772
also fact,-0.4772
horror films,-0.4772
mean anything,-0.4772
amazon actually,-0.4772
ice even,-0.4772
think reason,-0.4772
use waste,-0.4772
tennis ball,-0.4772
reason star,-0.4772
star received,-0.4772
old metal,-0.4772
gets beautiful,-0.4772
past christmas,-0.4772
recommend unless,-0.4772
get hooked,-0.4772
even darker,-0.4772
toward end,-0.4772
bosch icon,-0.4772
knew book,-0.4772
flick top,-0.4772
continues take,-0.4772
money next,-0.4772
possible use,-0.4772
child able,-0.4772
read chapters,-0.4772
change update,-0.4772
anywhere without,-0.4772
want bright,-0.4772
suck air,-0.4772
item description,-0.4772
cheaper looking,-0.4772
made cheap,-0.4772
placed one,-0.4772
thing used,-0.4772
listed product,-0.4772
online find,-0.4772
working weeks,-0.4772
gift really,-0.4772
sitting back,-0.4772
company like,-0.4772
used great,-0.4772
every category,-0.4772
hour refill,-0.4772
filters also,-0.4772
back part,-0.4772
times also,-0.4772
apps available,-0.4772
given reviews,-0.4772
way different,-0.4772
wonder would,-0.4772
elastic straps,-0.4772
actually write,-0.4772
anything touches,-0.4772
great however,-0.4772
anniversary edition,-0.4772
silver plated,-0.4772
time something,-0.4772
find anywhere,-0.4772
say something,-0.4772
would accept,-0.4772
filter came,-0.4772
talk someone,-0.4772
far far,-0.4772
anyone know,-0.4772
attached two,-0.4772
something called,-0.4772
playing want,-0.4772
like bad,-0.4772
fact set,-0.4772
accidentally bought,-0.4772
disappointed kids,-0.4772
quality different,-0.4772
different seller,-0.4772
finally read,-0.4772
hours first,-0.4772
accidental purchase,-0.4772
one showed,-0.4772
wished would,-0.4772
weeks back,-0.4772
fall ever,-0.4772
device bigger,-0.4772
water beading,-0.4772
product disappointed,-0.4772
waiting days,-0.4772
easily done,-0.4772
story always,-0.4772
bottle comes,-0.4772
began feel,-0.4772
sure end,-0.4772
dropped ball,-0.4772
haha even,-0.4772
diapers pampers,-0.4772
opened first,-0.4772
generation kindle,-0.4772
tell first,-0.4772
old ordered,-0.4772
would replace,-0.4772
first cup,-0.4772
new batteries,-0.4772
care told,-0.4772
like problems,-0.4772
get smell,-0.4772
times finally,-0.4772
better buying,-0.4772
refurbished one,-0.4772
update sent,-0.4772
beginning story,-0.4772
weird know,-0.4772
received pack,-0.4772
norton website,-0.4772
cringe worthy,-0.4772
hear someone,-0.4772
really meant,-0.4772
paid product,-0.4772
would times,-0.4772
muffin tin,-0.4772
paid subscription,-0.4772
many women,-0.4772
going months,-0.4772
say try,-0.4772
spend little,-0.4772
might improve,-0.4772
going getting,-0.4772
though even,-0.4772
box even,-0.4772
bad buy,-0.4772
significant amount,-0.4772
york times,-0.4772
returned amazon,-0.4772
inside home,-0.4772
issue got,-0.4772
card still,-0.4772
online came,-0.4772
device without,-0.4772
new clothes,-0.4772
products would,-0.4772
cord past,-0.4772
bought reviews,-0.4772
need say,-0.4772
proctor gamble,-0.4772
gift know,-0.4772
never lies,-0.4772
know two,-0.4772
sick days,-0.4772
time today,-0.4772
oddly enough,-0.4772
end onto,-0.4772
enter credit,-0.4772
fell flat,-0.4772
another location,-0.4772
job great,-0.4772
months also,-0.4772
week need,-0.4772
experience goes,-0.4772
book talk,-0.4772
four corners,-0.4772
page says,-0.4772
love blink,-0.4772
unplugging plugging,-0.4772
books seriously,-0.4772
anything remotely,-0.4772
tried download,-0.4772
took extra,-0.4772
made thin,-0.4772
wifi similar,-0.4772
keep going,-0.4772
game based,-0.4772
home security,-0.4772
people turn,-0.4772
ran away,-0.4772
sandisk ultra,-0.4772
product picture,-0.4772
way ahead,-0.4772
really dropped,-0.4772
netgear orbi,-0.4772
mess like,-0.4772
significantly lighter,-0.4772
cheap feeling,-0.4772
product better,-0.4772
find matter,-0.4772
even well,-0.4772
read may,-0.4772
bought hoping,-0.4772
bank account,-0.4772
week got,-0.4772
video footage,-0.4772
yet work,-0.4772
enthusiast love,-0.4772
one says,-0.4772
job got,-0.4772
sub par,-0.4772
drive store,-0.4772
put different,-0.4772
received bad,-0.4772
whole point,-0.4772
frustrating experience,-0.4772
work supposed,-0.4772
also tell,-0.4772
problems always,-0.4772
things got,-0.4772
odd shape,-0.4772
control pills,-0.4772
water filtered,-0.4772
husband lbs,-0.4772
sure received,-0.4772
characters looks,-0.4772
back patio,-0.4772
first everything,-0.4772
making sense,-0.4772
gift tell,-0.4772
know purchase,-0.4772
seem made,-0.4772
ingredients list,-0.4772
terrible product,-0.4772
card sitting,-0.4772
came life,-0.4772
covered plastic,-0.4772
quality compared,-0.4772
buy best,-0.4772
review original,-0.4772
